BARCODE|CREATED_STAMP
8901725101848|2017-01-19 19:43:55.402
8901248253215|2017-01-19 19:44:14.797
8901063164116|2017-01-19 19:44:19.438
8901063164116|2017-01-19 19:44:22.404
8904250700111|2017-01-19 19:49:22.156
8901058844269|2017-01-19 19:52:25.815
8901058844269|2017-01-19 19:52:28.119
8904063521497|2017-01-19 19:24:26.379
8901058844269|2017-01-19 19:52:31.523
8901058844269|2017-01-19 19:52:34.759
8901192103116|2017-01-19 19:24:29.608
8901764042805|2017-01-19 19:24:33.851
8901764042805|2017-01-19 19:24:34.335
690225106092|2017-01-19 19:24:40.778
8906014092593|2017-01-19 19:25:32.536
8901058842722|2017-01-19 20:03:19.909
8901719701603|2017-01-19 20:04:10.156
8904063200198|2017-01-19 20:04:21.396
8904603200013|2017-01-19 20:04:24.158
8904063230010|2017-01-19 20:04:26.772
8904063200419|2017-01-19 20:04:30.305
8910063155190|2017-01-19 20:04:45.408
8901088017381|2017-01-19 20:07:51.403
8069055100028|2017-01-19 20:09:23.618
8901030545344|2017-01-19 20:10:10.701
8901030251504|2017-01-19 20:10:13.386
8901314019004|2017-01-19 20:10:16.017
8901036142022|2017-01-19 20:10:20.735
8901063001022|2017-01-19 20:10:24.767
8901719255151|2017-01-19 20:15:12.319
8901719255151|2017-01-19 20:15:12.695
8901058842821|2017-01-19 20:15:15.856
8901719105913|2017-01-19 20:15:19.903
8901719105913|2017-01-19 20:15:20.136
8901030350429|2017-01-19 20:15:25.534
8901719104725|2017-01-19 20:15:27.817
8904063253842|2017-01-19 20:15:33.043
4902430658485|2017-01-19 20:15:35.236
846597029419|2017-01-19 20:15:40.750
8901088120401|2017-01-19 20:15:44.603
8901030340987|2017-01-19 20:15:49.436
8901030340987|2017-01-19 20:15:49.909
8901248749022|2017-01-19 20:15:55.963
846579045402|2017-01-19 20:15:59.975
8901063155206|2017-01-19 20:18:03.908
8901030535048|2017-01-19 20:18:05.824
9012486004444|2017-01-19 20:22:08.618
8906016577012|2017-01-19 20:54:44.357
4902430697408|2017-01-19 21:03:32.221
8901138509231|2017-01-03 11:33:30.490
8901262070454|2017-01-03 11:33:37.038
8012595000482|2017-01-03 11:36:57.559
8902080104345|2017-01-03 11:43:13.598
8901030534898|2017-01-03 11:50:29.578
8901972058629|2017-01-03 11:51:45.915
8901508842746|2017-01-03 11:51:50.782
8901791100734|2017-01-03 11:51:54.791
8901972058636|2017-01-03 11:52:17.608
8091791104572|2017-01-03 11:52:21.087
8901396387503|2017-01-03 11:52:26.812
8901719103865|2017-01-03 11:52:45.251
8901063362857|2017-01-03 11:52:48.730
890103050793|2017-01-03 11:52:53.067
8901262060011|2017-01-03 11:53:01.620
8906000610251|2017-01-03 11:53:06.909
8901063035027|2017-01-03 11:53:11.168
8901595826962|2017-01-03 11:53:19.997
8901719105913|2017-01-03 11:53:26.112
9018630362871|2017-01-03 11:53:28.109
846597001118|2017-01-03 11:53:32.805
8901248104135|2017-01-03 11:53:58.354
8906002000463|2017-01-03 11:54:07.605
8901791108389|2017-01-03 11:54:11.318
8901030602658|2017-01-03 11:54:49.242
8904063230058|2017-01-03 11:58:24.348
8901526104309|2017-01-03 12:15:34.878
8901120143115|2017-01-03 12:11:12.646
8901058845396|2017-01-03 12:07:55.870
8904124108036|2017-01-03 12:11:48.953
8904124108036|2017-01-03 12:11:54.513
8904124108036|2017-01-03 12:12:51.921
8904124108036|2017-01-03 12:13:22.441
8901030560880|2017-01-03 12:19:45.087
8901088062374|2017-01-03 12:19:59.096
8905216209910|2017-01-03 12:20:02.746
8902167001048|2017-01-20 14:39:22.863
8902167000089|2017-01-20 14:39:39.527
8901541080127|2017-01-03 12:24:58.176
8901548100127|2017-01-03 12:24:58.675
8901719105487|2017-01-03 12:40:14.997
8901719100710|2017-01-03 12:40:18.601
9068006332683|2017-01-03 12:40:24.201
8906014640107|2017-01-03 12:40:37.914
8901262010023|2017-01-03 12:40:47.586
8904063230010|2017-01-03 12:46:11.949
846597062768|2017-01-03 12:46:39.732
8901058847482|2017-01-03 12:46:45.255
8901396152200|2017-01-03 12:46:52.290
4902430732819|2017-01-03 12:47:28.013
4902430668538|2017-01-03 12:47:34.190
4902430639835|2017-01-03 12:47:40.150
8901030493072|2017-01-03 12:47:46.374
8901331000498|2017-01-03 12:47:59.587
890103049302|2017-01-03 12:48:18.042
4029430651479|2017-01-03 12:48:22.067
8901030293597|2017-01-03 12:48:31.661
8901023012301|2017-01-03 12:48:38.197
8917205132873|2017-01-03 12:48:55.383
9017285132873|2017-01-03 12:48:57.905
8901242178020|2017-01-03 12:49:18.933
8906011190278|2017-01-03 12:49:24.019
8906051050011|2017-01-03 12:49:29.261
8901030516320|2017-01-03 12:50:19.477
8901063155206|2017-01-03 12:50:36.715
8906002000074|2017-01-03 12:50:40.724
8904063252029|2017-01-03 12:50:44.843
8901058478482|2017-01-03 12:50:53.111
8902160700126|2017-01-03 12:51:00.318
4902430663960|2017-01-03 12:51:04.811
8901058428296|2017-01-03 12:51:14.779
8901063155190|2017-01-03 12:51:20.317
8902188812043|2017-01-03 12:51:37.384
8901571000036|2017-01-03 12:51:41.065
8904043901015|2017-01-20 19:57:40.498
8901052000906|2017-01-20 19:57:47.883
8901595963331|2017-01-20 19:59:53.204
52010219|2017-01-20 20:01:07.962
8901052010219|2017-01-20 20:01:14.714
8901233019451|2017-01-20 20:04:11.914
8901233023632|2017-01-20 20:04:15.577
8049063253859|2017-01-03 12:57:03.325
8049063253606|2017-01-03 12:58:57.589
8904063253606|2017-01-03 12:58:57.901
8901725100148|2017-01-20 20:36:51.755
8906000611128|2017-01-03 12:59:13.641
8901138509231|2017-01-20 20:36:55.119
8901314009067|2017-01-03 12:59:24.639
8901725937874|2017-01-03 12:59:32.627
8908003542034|2017-01-03 12:59:40.161
8901058427822|2017-01-03 13:00:25.136
8906002342587|2017-01-03 13:00:50.954
8906055100011|2017-01-03 13:00:57.693
8904043901015|2017-01-03 13:01:11.921
8904043901015|2017-01-03 13:01:12.248
8902167000126|2017-01-03 13:01:28.987
8901030534898|2017-01-03 13:01:53.089
8906011190278|2017-01-03 13:01:58.128
8901921114105|2017-01-03 13:02:03.073
8902188812043|2017-01-03 13:02:20.966
8901331000498|2017-01-03 13:02:27.378
8908004366033|2017-01-03 13:02:40.529
8901063620836|2017-01-03 13:02:46.238
8901063162143|2017-01-03 13:02:52.588
8906016571096|2017-01-03 13:03:01.760
8901063155206|2017-01-03 13:03:19.576
8901036202960|2017-01-03 13:03:28.000
8901063362888|2017-01-20 21:07:03.602
8901063362802|2017-01-20 21:07:06.608
8906007280693|2017-01-20 21:13:36.983
8901331000498|2017-01-03 13:07:41.488
4902430616225|2017-01-03 13:07:44.351
8901058843590|2017-01-03 13:08:49.551
8901764041259|2017-01-03 13:08:57.991
8901207019029|2017-01-03 13:03:41.853
8901396153306|2017-01-03 13:03:52.539
8901190107239|2017-01-03 13:04:01.353
4902430732819|2017-01-03 13:04:05.331
8901030630897|2017-01-03 13:04:24.487
4902430668545|2017-01-03 13:06:04.640
4902430668545|2017-01-03 13:06:26.714
4290430732819|2017-01-03 13:06:36.495
8901242107903|2017-01-03 13:06:58.023
8908000258013|2017-01-03 13:07:43.592
845697260012|2017-01-03 13:09:08.859
8901063362840|2017-01-20 21:07:01.505
11710224|2017-01-21 07:26:53.895
11710224|2017-01-21 07:26:54.733
22222222|2017-01-21 07:29:38.180
8901030512360|2017-01-21 09:14:23.192
8901138509224|2017-01-21 09:20:39.176
8904124108074|2017-01-21 09:28:04.566
8904250700111|2017-01-03 13:13:39.270
8906001055983|2017-01-03 13:14:40.500
8901725132361|2017-01-03 13:14:43.917
